node,period,xi,eta_bar,E
anshan,1,91.27511627906978,38.080000000000005,
anshan,2,91.27511627906978,38.080000000000005,
anshan,3,91.27511627906978,38.080000000000005,
anshan,4,91.27511627906978,38.080000000000005,
changchun,1,69.65732558139537,302.40000000000003,
changchun,2,69.65732558139537,302.40000000000003,
changchun,3,69.65732558139537,302.40000000000003,
changchun,4,69.65732558139537,302.40000000000003,
dalian,1,672.553488372093,379.26,
dalian,2,672.553488372093,379.26,
dalian,3,672.553488372093,379.26,
dalian,4,672.553488372093,379.26,
dandong,1,201.7660465116279,20.790000000000003,57.647441860465115
dandong,2,201.7660465116279,20.790000000000003,57.647441860465115
dandong,3,201.7660465116279,20.790000000000003,57.647441860465115
dandong,4,201.7660465116279,20.790000000000003,57.647441860465115
harbin,1,69.65732558139537,225.12,
harbin,2,69.65732558139537,225.12,
harbin,3,69.65732558139537,225.12,
harbin,4,69.65732558139537,225.12,
jilin,1,69.65732558139537,53.76,
jilin,2,69.65732558139537,53.76,
jilin,3,69.65732558139537,53.76,
jilin,4,69.65732558139537,53.76,
shenyang,1,91.27511627906978,387.52,
shenyang,2,91.27511627906978,387.52,
shenyang,3,91.27511627906978,387.52,
shenyang,4,91.27511627906978,387.52,
tonghua,1,69.65732558139537,15.68,
tonghua,2,69.65732558139537,15.68,
tonghua,3,69.65732558139537,15.68,
tonghua,4,69.65732558139537,15.68,
yingkou,1,201.7660465116279,229.95,57.647441860465115
yingkou,2,201.7660465116279,229.95,57.647441860465115
yingkou,3,201.7660465116279,229.95,57.647441860465115
yingkou,4,201.7660465116279,229.95,57.647441860465115
