scenario,node,period,eta
0,dalian,1,517.8231385858904
0,yingkou,1,88.37751544999242
0,dandong,1,24.773630009334187
0,shenyang,1,392.91716369263384
0,anshan,1,48.119792184163025
0,changchun,1,325.7228570399026
0,jilin,1,73.40668476380655
0,tonghua,1,15.77954842869994
0,harbin,1,201.87728549117054
0,dalian,2,423.2909422534603
0,yingkou,2,249.8225945529226
0,dandong,2,19.30626195191687
0,shenyang,2,368.3529645806277
0,anshan,2,43.55926020505946
0,changchun,2,344.99703130877344
0,jilin,2,48.44921915651134
0,tonghua,2,14.526849761473292
0,harbin,2,143.771069499256
0,dalian,3,506.63124482393545
0,yingkou,3,219.63486250271157
0,dandong,3,26.35039955599992
0,shenyang,3,419.87525338243216
0,anshan,3,52.885220491543365
0,changchun,3,395.3644113562314
0,jilin,3,57.18234481992242
0,tonghua,3,20.32367408467605
0,harbin,3,182.34163856303257
0,dalian,4,474.72870338200255
0,yingkou,4,161.86531736703517
0,dandong,4,22.217176816373787
0,shenyang,4,470.05218586967067
0,anshan,4,39.78318239079705
0,changchun,4,280.19552416698605
0,jilin,4,45.09861839960669
0,tonghua,4,14.604979152513287
0,harbin,4,272.44585841606306
0,dalian,5,446.83195367664314
0,yingkou,5,217.89457401824697
0,dandong,5,15.60911392387312
0,shenyang,5,439.7574822350773
0,anshan,5,27.037760099800643
0,changchun,5,270.2938953684843
0,jilin,5,45.85912528842878
0,tonghua,5,18.01087969930516
0,harbin,5,235.74340115591858
0,dalian,6,414.29260515226736
0,yingkou,6,242.47803980227596
0,dandong,6,17.971166576756882
0,shenyang,6,429.02153059014273
0,anshan,6,48.83729816576822
0,changchun,6,300.17607522671074
0,jilin,6,60.572407681811974
0,tonghua,6,15.285167586865715
0,harbin,6,271.4296795611987
1,dalian,1,429.825723338979
1,yingkou,1,270.2289374616879
1,dandong,1,22.23874281553457
1,shenyang,1,514.6268608791098
1,anshan,1,35.329477193167264
1,changchun,1,282.1896356498523
1,jilin,1,47.39632145696932
1,tonghua,1,17.595979033373133
1,harbin,1,197.0970502117036
1,dalian,2,330.37091045619167
1,yingkou,2,263.40656741423993
1,dandong,2,25.621994220186753
1,shenyang,2,432.0345377695224
1,anshan,2,17.64548332156443
1,changchun,2,244.72430944384953
1,jilin,2,42.217841104250326
1,tonghua,2,11.893244940376645
1,harbin,2,206.76066940576888
1,dalian,3,517.1242893628119
1,yingkou,3,215.81274051230568
1,dandong,3,17.73201647019983
1,shenyang,3,441.6815580159975
1,anshan,3,38.60681189141128
1,changchun,3,309.6987946613995
1,jilin,3,46.37687994692601
1,tonghua,3,15.675281991369095
1,harbin,3,244.68460198395314
1,dalian,4,234.28357350922542
1,yingkou,4,155.89578301682604
1,dandong,4,25.299602803705895
1,shenyang,4,452.8562265749142
1,anshan,4,34.221302439069724
1,changchun,4,240.6980678608466
1,jilin,4,51.76500268036936
1,tonghua,4,11.936706417176392
1,harbin,4,209.80747309494544
1,dalian,5,504.49926935940687
1,yingkou,5,236.0239840828654
1,dandong,5,25.63942731836324
1,shenyang,5,370.26601854291107
1,anshan,5,40.893468919514106
1,changchun,5,386.2150282165976
1,jilin,5,39.395999384746375
1,tonghua,5,14.590309008778148
1,harbin,5,218.05580191144236
1,dalian,6,400.6488364172216
1,yingkou,6,301.40313258177406
1,dandong,6,23.640421280885093
1,shenyang,6,271.44484794845533
1,anshan,6,36.016276934378034
1,changchun,6,248.35244623158712
1,jilin,6,43.87840633383894
1,tonghua,6,22.029859714251018
1,harbin,6,177.2608079349483
2,dalian,1,397.1910468072706
2,yingkou,1,197.05738944669966
2,dandong,1,24.36995874832003
2,shenyang,1,414.93341579990874
2,anshan,1,39.05048950108149
2,changchun,1,297.7934113692191
2,jilin,1,65.99273228702035
2,tonghua,1,12.758189160203557
2,harbin,1,192.39032884072407
2,dalian,2,294.5631981062279
2,yingkou,2,291.32578949802553
2,dandong,2,19.569350994268156
2,shenyang,2,307.11729066733545
2,anshan,2,34.88833698310226
2,changchun,2,453.5786591428408
2,jilin,2,52.604450792591436
2,tonghua,2,18.345664594504704
2,harbin,2,246.0643465554132
2,dalian,3,378.3207032875974
2,yingkou,3,198.0924992874852
2,dandong,3,19.40000039031625
2,shenyang,3,360.0485200202504
2,anshan,3,21.25415265156018
2,changchun,3,459.05119335732195
2,jilin,3,63.70383944538016
2,tonghua,3,16.044674485221613
2,harbin,3,215.96440839292342
2,dalian,4,319.3638943571033
2,yingkou,4,273.6231026947603
2,dandong,4,20.013052812435323
2,shenyang,4,424.66554041903083
2,anshan,4,27.512836799750644
2,changchun,4,325.29026094309256
2,jilin,4,75.26723807411562
2,tonghua,4,14.771723880334093
2,harbin,4,261.13717160712844
2,dalian,5,381.9401270421056
2,yingkou,5,280.7777129493419
2,dandong,5,25.228351109795113
2,shenyang,5,392.29784034793255
2,anshan,5,33.81819736495586
2,changchun,5,319.7428916840445
2,jilin,5,54.20910060467057
2,tonghua,5,13.74225523354395
2,harbin,5,245.67250362933328
2,dalian,6,412.05255371903274
2,yingkou,6,189.0636664460697
2,dandong,6,20.32643332046757
2,shenyang,6,613.9199964015173
2,anshan,6,44.301011454929906
2,changchun,6,308.3136927198667
2,jilin,6,80.75915768204588
2,tonghua,6,14.251855569201663
2,harbin,6,113.6021201363531
3,dalian,1,234.61467337958194
3,yingkou,1,160.06768847578385
3,dandong,1,21.871308915571696
3,shenyang,1,463.1915183142172
3,anshan,1,21.55183114229775
3,changchun,1,369.97090024223485
3,jilin,1,40.5593562869449
3,tonghua,1,16.48417968404494
3,harbin,1,246.00751616828515
3,dalian,2,412.0530825450992
3,yingkou,2,230.2970902217274
3,dandong,2,21.500999346973067
